generalized_domain,domain_A_queries,domain_AAAA_queries,company,Num,Domain,search_pattern,domain_CNAME_queries,searched_correctly
iot-mqtts.eu-west-0.myhuaweicloud.com.,rrset/name/*.iot-mqtts.eu-west-0.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.eu-west-0.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.eu-west-0.myhuaweicloud.com./CNAME,
iot-mqtts.la-south-1.myhuaweicloud.com.,rrset/name/*.iot-mqtts.la-south-1.myhuaweicloud.com./A,rrset/name/*.iot-mqtts.la-south-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-mqtts.la-south-1.myhuaweicloud.com./CNAME,
iot-https.af-south-1.myhuaweicloud.com.,rrset/name/*.iot-https.af-south-1.myhuaweicloud.com./A,rrset/name/*.iot-https.af-south-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.af-south-1.myhuaweicloud.com./CNAME,
iot-https.ap-southeast-2.myhuaweicloud.com.,rrset/name/*.iot-https.ap-southeast-2.myhuaweicloud.com./A,rrset/name/*.iot-https.ap-southeast-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.ap-southeast-2.myhuaweicloud.com./CNAME,
iot-https.ap-southeast-1.myhuaweicloud.com.,rrset/name/*.iot-https.ap-southeast-1.myhuaweicloud.com./A,rrset/name/*.iot-https.ap-southeast-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.ap-southeast-1.myhuaweicloud.com./CNAME,
iot-https.ap-southeast-3.myhuaweicloud.com.,rrset/name/*.iot-https.ap-southeast-3.myhuaweicloud.com./A,rrset/name/*.iot-https.ap-southeast-3.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.ap-southeast-3.myhuaweicloud.com./CNAME,
iot-https.cn-east-3.myhuaweicloud.com.,rrset/name/*.iot-https.cn-east-3.myhuaweicloud.com./A,rrset/name/*.iot-https.cn-east-3.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.cn-east-3.myhuaweicloud.com./CNAME,
iot-https.cn-east-2.myhuaweicloud.com.,rrset/name/*.iot-https.cn-east-2.myhuaweicloud.com./A,rrset/name/*.iot-https.cn-east-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.cn-east-2.myhuaweicloud.com./CNAME,
iot-https.cn-east-1.myhuaweicloud.com.,rrset/name/*.iot-https.cn-east-1.myhuaweicloud.com./A,rrset/name/*.iot-https.cn-east-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.cn-east-1.myhuaweicloud.com./CNAME,
iot-https.cn-north-1.myhuaweicloud.com.,rrset/name/*.iot-https.cn-north-1.myhuaweicloud.com./A,rrset/name/*.iot-https.cn-north-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.cn-north-1.myhuaweicloud.com./CNAME,
iot-https.cn-south-1.myhuaweicloud.com.,rrset/name/*.iot-https.cn-south-1.myhuaweicloud.com./A,rrset/name/*.iot-https.cn-south-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.cn-south-1.myhuaweicloud.com./CNAME,
iot-https.cn-south-2.myhuaweicloud.com.,rrset/name/*.iot-https.cn-south-2.myhuaweicloud.com./A,rrset/name/*.iot-https.cn-south-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.cn-south-2.myhuaweicloud.com./CNAME,
iot-https.sa-argentina-1.myhuaweicloud.com.,rrset/name/*.iot-https.sa-argentina-1.myhuaweicloud.com./A,rrset/name/*.iot-https.sa-argentina-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.sa-argentina-1.myhuaweicloud.com./CNAME,
iot-https.sa-peru-1.myhuaweicloud.com.,rrset/name/*.iot-https.sa-peru-1.myhuaweicloud.com./A,rrset/name/*.iot-https.sa-peru-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.sa-peru-1.myhuaweicloud.com./CNAME,
iot-https.la-south-2.myhuaweicloud.com.,rrset/name/*.iot-https.la-south-2.myhuaweicloud.com./A,rrset/name/*.iot-https.la-south-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.la-south-2.myhuaweicloud.com./CNAME,
iot-https.sa-chile-1.myhuaweicloud.com.,rrset/name/*.iot-https.sa-chile-1.myhuaweicloud.com./A,rrset/name/*.iot-https.sa-chile-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.sa-chile-1.myhuaweicloud.com./CNAME,
iot-https.na-mexico-1.myhuaweicloud.com.,rrset/name/*.iot-https.na-mexico-1.myhuaweicloud.com./A,rrset/name/*.iot-https.na-mexico-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.na-mexico-1.myhuaweicloud.com./CNAME,
iot-https.sa-brazil-1.myhuaweicloud.com.,rrset/name/*.iot-https.sa-brazil-1.myhuaweicloud.com./A,rrset/name/*.iot-https.sa-brazil-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.sa-brazil-1.myhuaweicloud.com./CNAME,
iot-https.cn-southwest-2.myhuaweicloud.com.,rrset/name/*.iot-https.cn-southwest-2.myhuaweicloud.com./A,rrset/name/*.iot-https.cn-southwest-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.cn-southwest-2.myhuaweicloud.com./CNAME,
iot-https.cn-southwest-1.myhuaweicloud.com.,rrset/name/*.iot-https.cn-southwest-1.myhuaweicloud.com./A,rrset/name/*.iot-https.cn-southwest-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.cn-southwest-1.myhuaweicloud.com./CNAME,
iot-https.cn-north-4.myhuaweicloud.com.,rrset/name/*.iot-https.cn-north-4.myhuaweicloud.com./A,rrset/name/*.iot-https.cn-north-4.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.cn-north-4.myhuaweicloud.com./CNAME,
iot-amqps.cn-north-4.myhuaweicloud.com.,rrset/name/*.iot-amqps.cn-north-4.myhuaweicloud.com./A,rrset/name/*.iot-amqps.cn-north-4.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-amqps.cn-north-4.myhuaweicloud.com./CNAME,
iot-amqps.cn-north-3.myhuaweicloud.com.,rrset/name/*.iot-amqps.cn-north-3.myhuaweicloud.com./A,rrset/name/*.iot-amqps.cn-north-3.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-amqps.cn-north-3.myhuaweicloud.com./CNAME,
iot-amqps.cn-north-2.myhuaweicloud.com.,rrset/name/*.iot-amqps.cn-north-2.myhuaweicloud.com./A,rrset/name/*.iot-amqps.cn-north-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-amqps.cn-north-2.myhuaweicloud.com./CNAME,
iot-amqps.cn-north-1.myhuaweicloud.com.,rrset/name/*.iot-amqps.cn-north-1.myhuaweicloud.com./A,rrset/name/*.iot-amqps.cn-north-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-amqps.cn-north-1.myhuaweicloud.com./CNAME,
iot-https.cn-north-2.myhuaweicloud.com.,rrset/name/*.iot-https.cn-north-2.myhuaweicloud.com./A,rrset/name/*.iot-https.cn-north-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.cn-north-2.myhuaweicloud.com./CNAME,
iot-https.cn-north-3.myhuaweicloud.com.,rrset/name/*.iot-https.cn-north-3.myhuaweicloud.com./A,rrset/name/*.iot-https.cn-north-3.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.cn-north-3.myhuaweicloud.com./CNAME,
iot-https.ru-northwest-2.myhuaweicloud.com.,rrset/name/*.iot-https.ru-northwest-2.myhuaweicloud.com./A,rrset/name/*.iot-https.ru-northwest-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.ru-northwest-2.myhuaweicloud.com./CNAME,
iot-https.ru-northwest-1.myhuaweicloud.com.,rrset/name/*.iot-https.ru-northwest-1.myhuaweicloud.com./A,rrset/name/*.iot-https.ru-northwest-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.ru-northwest-1.myhuaweicloud.com./CNAME,
iot-https.eu-west-0.myhuaweicloud.com.,rrset/name/*.iot-https.eu-west-0.myhuaweicloud.com./A,rrset/name/*.iot-https.eu-west-0.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.eu-west-0.myhuaweicloud.com./CNAME,
iot-https.la-south-1.myhuaweicloud.com.,rrset/name/*.iot-https.la-south-1.myhuaweicloud.com./A,rrset/name/*.iot-https.la-south-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-https.la-south-1.myhuaweicloud.com./CNAME,
iot-acc.af-south-1.myhuaweicloud.com.,rrset/name/*.iot-acc.af-south-1.myhuaweicloud.com./A,rrset/name/*.iot-acc.af-south-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-acc.af-south-1.myhuaweicloud.com./CNAME,
iot-acc.ap-southeast-2.myhuaweicloud.com.,rrset/name/*.iot-acc.ap-southeast-2.myhuaweicloud.com./A,rrset/name/*.iot-acc.ap-southeast-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-acc.ap-southeast-2.myhuaweicloud.com./CNAME,
iot-acc.ap-southeast-1.myhuaweicloud.com.,rrset/name/*.iot-acc.ap-southeast-1.myhuaweicloud.com./A,rrset/name/*.iot-acc.ap-southeast-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-acc.ap-southeast-1.myhuaweicloud.com./CNAME,
iot-acc.ap-southeast-3.myhuaweicloud.com.,rrset/name/*.iot-acc.ap-southeast-3.myhuaweicloud.com./A,rrset/name/*.iot-acc.ap-southeast-3.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-acc.ap-southeast-3.myhuaweicloud.com./CNAME,
iot-acc.cn-east-3.myhuaweicloud.com.,rrset/name/*.iot-acc.cn-east-3.myhuaweicloud.com./A,rrset/name/*.iot-acc.cn-east-3.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-acc.cn-east-3.myhuaweicloud.com./CNAME,
iot-acc.cn-east-2.myhuaweicloud.com.,rrset/name/*.iot-acc.cn-east-2.myhuaweicloud.com./A,rrset/name/*.iot-acc.cn-east-2.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-acc.cn-east-2.myhuaweicloud.com./CNAME,
iot-acc.cn-east-1.myhuaweicloud.com.,rrset/name/*.iot-acc.cn-east-1.myhuaweicloud.com./A,rrset/name/*.iot-acc.cn-east-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-acc.cn-east-1.myhuaweicloud.com./CNAME,
iot-acc.cn-north-1.myhuaweicloud.com.,rrset/name/*.iot-acc.cn-north-1.myhuaweicloud.com./A,rrset/name/*.iot-acc.cn-north-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-acc.cn-north-1.myhuaweicloud.com./CNAME,
iot-acc.cn-south-1.myhuaweicloud.com.,rrset/name/*.iot-acc.cn-south-1.myhuaweicloud.com./A,rrset/name/*.iot-acc.cn-south-1.myhuaweicloud.com./AAAA,'Huawei Technologies',,,,rrset/name/*.iot-acc.cn-south-1.myhuaweicloud.com./CNAME,
